Episode: 287, Total numsteps: 4286, Episode steps: 23, Reward: -99.17, Cost: 0

Episode: 288, Total numsteps: 4296, Episode steps: 10, Reward: -98.94, Cost: 0

Episode: 289, Total numsteps: 4303, Episode steps: 7, Reward: -98.72, Cost: 0

Episode: 290, Total numsteps: 4320, Episode steps: 17, Reward: -98.7, Cost: 0

Episode: 291, Total numsteps: 4368, Episode steps: 48, Reward: -97.72, Cost: 0

Episode: 292, Total numsteps: 4409, Episode steps: 41, Reward: -99.52, Cost: 0

Episode: 293, Total numsteps: 4425, Episode steps: 16, Reward: -99.5, Cost: 0

Episode: 294, Total numsteps: 4443, Episode steps: 18, Reward: -98.95, Cost: 0

Episode: 295, Total numsteps: 4458, Episode steps: 15, Reward: -99.54, Cost: 0

Episode: 296, Total numsteps: 4465, Episode steps: 7, Reward: -99.32, Cost: 0

Episode: 297, Total numsteps: 4472, Episode steps: 7, Reward: -99.08, Cost: 0

Episode: 298, Total numsteps: 4501, Episode steps: 29, Reward: -98.96, Cost: 0

Episode: 299, Total numsteps: 4517, Episode steps: 16, Reward: -99.7, Cost: 0

Episode: 300, Total numsteps: 4550, Episode steps: 33, Reward: -96.82, Cost: 0

Episode: 301, Total numsteps: 4556, Episode steps: 6, Reward: -98.99, Cost: 0

Episode: 302, Total numsteps: 4565, Episode steps: 9, Reward: -98.63, Cost: 0

Episode: 303, Total numsteps: 4582, Episode steps: 17, Reward: -98.91, Cost: 0

Episode: 304, Total numsteps: 4595, Episode steps: 13, Reward: -99.14, Cost: 0

Episode: 305, Total numsteps: 4610, Episode steps: 15, Reward: -99.66, Cost: 0

Episode: 306, Total numsteps: 4625, Episode steps: 15, Reward: -97.97, Cost: 0

Episode: 307, Total numsteps: 4653, Episode steps: 28, Reward: -99.62, Cost: 0

Episode: 308, Total numsteps: 4665, Episode steps: 12, Reward: -98.62, Cost: 0

Episode: 309, Total numsteps: 4685, Episode steps: 20, Reward: -99.35, Cost: 0

Episode: 310, Total numsteps: 4701, Episode steps: 16, Reward: -98.58, Cost: 0

Episode: 311, Total numsteps: 4718, Episode steps: 17, Reward: -98.82, Cost: 0

Episode: 312, Total numsteps: 4726, Episode steps: 8, Reward: -99.51, Cost: 0

Episode: 313, Total numsteps: 4743, Episode steps: 17, Reward: -99.23, Cost: 0

Episode: 314, Total numsteps: 4756, Episode steps: 13, Reward: -99.15, Cost: 0

Episode: 315, Total numsteps: 4791, Episode steps: 35, Reward: -99.89, Cost: 0

Episode: 316, Total numsteps: 4808, Episode steps: 17, Reward: -98.78, Cost: 0

Episode: 317, Total numsteps: 4817, Episode steps: 9, Reward: -99.41, Cost: 0

Episode: 318, Total numsteps: 4828, Episode steps: 11, Reward: -99.41, Cost: 0

