Episode: 194, Total numsteps: 3493, Episode steps: 10, Reward: -99.66, Cost: 0, Running Time: 0.2345

Episode: 195, Total numsteps: 3507, Episode steps: 14, Reward: -97.91, Cost: 0, Running Time: 0.3244

Episode: 196, Total numsteps: 3522, Episode steps: 15, Reward: -98.2, Cost: 0, Running Time: 0.3397

Episode: 197, Total numsteps: 3553, Episode steps: 31, Reward: -98.11, Cost: 0, Running Time: 0.7854

Episode: 198, Total numsteps: 3555, Episode steps: 2, Reward: -98.47, Cost: 0, Running Time: 0.0578

Episode: 199, Total numsteps: 3568, Episode steps: 13, Reward: -98.26, Cost: 0, Running Time: 0.2933

Episode: 200, Total numsteps: 3577, Episode steps: 9, Reward: -99.02, Cost: 0, Running Time: 0.2164

Episode: 201, Total numsteps: 3642, Episode steps: 65, Reward: -98.51, Cost: 0, Running Time: 1.6372

Episode: 202, Total numsteps: 3649, Episode steps: 7, Reward: -98.09, Cost: 0, Running Time: 0.1793

Episode: 203, Total numsteps: 3659, Episode steps: 10, Reward: -97.47, Cost: 0, Running Time: 0.2415

Episode: 204, Total numsteps: 3677, Episode steps: 18, Reward: -97.76, Cost: 0, Running Time: 0.4094

Episode: 205, Total numsteps: 3688, Episode steps: 11, Reward: -98.19, Cost: 0, Running Time: 0.2588

Episode: 206, Total numsteps: 3699, Episode steps: 11, Reward: -98.44, Cost: 0, Running Time: 0.2697

Episode: 207, Total numsteps: 3762, Episode steps: 63, Reward: -98.91, Cost: 0, Running Time: 1.5297

Episode: 208, Total numsteps: 3791, Episode steps: 29, Reward: -99.15, Cost: 0, Running Time: 0.721

Episode: 209, Total numsteps: 3817, Episode steps: 26, Reward: -99.27, Cost: 0, Running Time: 0.6606

Episode: 210, Total numsteps: 3862, Episode steps: 45, Reward: -99.15, Cost: 0, Running Time: 1.1607

Episode: 211, Total numsteps: 3875, Episode steps: 13, Reward: -98.93, Cost: 0, Running Time: 0.3118

Episode: 212, Total numsteps: 3883, Episode steps: 8, Reward: -98.76, Cost: 0, Running Time: 0.2024

Episode: 213, Total numsteps: 3898, Episode steps: 15, Reward: -99.36, Cost: 0, Running Time: 0.3434

Episode: 214, Total numsteps: 3921, Episode steps: 23, Reward: -98.6, Cost: 0, Running Time: 0.5493

Episode: 215, Total numsteps: 3930, Episode steps: 9, Reward: -99.47, Cost: 0, Running Time: 0.2058

Episode: 216, Total numsteps: 3964, Episode steps: 34, Reward: -98.92, Cost: 0, Running Time: 0.8605

Episode: 217, Total numsteps: 3975, Episode steps: 11, Reward: -98.85, Cost: 0, Running Time: 0.2573

Episode: 218, Total numsteps: 4060, Episode steps: 85, Reward: -98.45, Cost: 0, Running Time: 2.2144

Episode: 219, Total numsteps: 4067, Episode steps: 7, Reward: -98.88, Cost: 0, Running Time: 0.1754

Episode: 220, Total numsteps: 4074, Episode steps: 7, Reward: -98.32, Cost: 0, Running Time: 0.1718

Episode: 221, Total numsteps: 4087, Episode steps: 13, Reward: -99.14, Cost: 0, Running Time: 0.3079

Episode: 222, Total numsteps: 4115, Episode steps: 28, Reward: -99.23, Cost: 0, Running Time: 0.6894

Episode: 223, Total numsteps: 4127, Episode steps: 12, Reward: -98.29, Cost: 0, Running Time: 0.2706

Episode: 224, Total numsteps: 4135, Episode steps: 8, Reward: -99.79, Cost: 0, Running Time: 0.1918

Episode: 225, Total numsteps: 4152, Episode steps: 17, Reward: -97.93, Cost: 0, Running Time: 0.4188

Episode: 226, Total numsteps: 4175, Episode steps: 23, Reward: -98.77, Cost: 0, Running Time: 0.5659

Episode: 227, Total numsteps: 4177, Episode steps: 2, Reward: -98.5, Cost: 0, Running Time: 0.0607

Episode: 228, Total numsteps: 4187, Episode steps: 10, Reward: -98.9, Cost: 0, Running Time: 0.2401

Episode: 229, Total numsteps: 4207, Episode steps: 20, Reward: -99.71, Cost: 0, Running Time: 0.4875

Episode: 230, Total numsteps: 4225, Episode steps: 18, Reward: -98.77, Cost: 0, Running Time: 0.4338

Episode: 231, Total numsteps: 4232, Episode steps: 7, Reward: -99.66, Cost: 0, Running Time: 0.1638

Episode: 232, Total numsteps: 4244, Episode steps: 12, Reward: -98.67, Cost: 0, Running Time: 0.283

Episode: 233, Total numsteps: 4319, Episode steps: 75, Reward: -99.89, Cost: 0, Running Time: 1.9188

Episode: 234, Total numsteps: 4384, Episode steps: 65, Reward: -97.66, Cost: 0, Running Time: 1.595

Episode: 235, Total numsteps: 4391, Episode steps: 7, Reward: -97.96, Cost: 0, Running Time: 0.1753

Episode: 236, Total numsteps: 4406, Episode steps: 15, Reward: -98.93, Cost: 0, Running Time: 0.3595

Episode: 237, Total numsteps: 4423, Episode steps: 17, Reward: -98.3, Cost: 0, Running Time: 0.3971

Episode: 238, Total numsteps: 4434, Episode steps: 11, Reward: -98.88, Cost: 0, Running Time: 0.2548

Episode: 239, Total numsteps: 4465, Episode steps: 31, Reward: -99.44, Cost: 0, Running Time: 0.7714

Episode: 240, Total numsteps: 4472, Episode steps: 7, Reward: -99.09, Cost: 0, Running Time: 0.182

Episode: 241, Total numsteps: 4515, Episode steps: 43, Reward: -98.97, Cost: 0, Running Time: 1.0841

Episode: 242, Total numsteps: 4522, Episode steps: 7, Reward: -99.29, Cost: 0, Running Time: 0.1749

Episode: 243, Total numsteps: 4567, Episode steps: 45, Reward: -99.67, Cost: 0, Running Time: 1.1037

Episode: 244, Total numsteps: 4583, Episode steps: 16, Reward: -98.83, Cost: 0, Running Time: 0.3654

Episode: 245, Total numsteps: 4596, Episode steps: 13, Reward: -99.27, Cost: 0, Running Time: 0.2977

Episode: 246, Total numsteps: 4614, Episode steps: 18, Reward: -98.99, Cost: 0, Running Time: 0.4336

Episode: 247, Total numsteps: 4625, Episode steps: 11, Reward: -99.15, Cost: 0, Running Time: 0.2492

Episode: 248, Total numsteps: 4702, Episode steps: 77, Reward: -99.62, Cost: 0, Running Time: 2.0119

Episode: 249, Total numsteps: 4740, Episode steps: 38, Reward: -99.77, Cost: 0, Running Time: 0.9526

Episode: 250, Total numsteps: 4749, Episode steps: 9, Reward: -99.19, Cost: 0, Running Time: 0.2206

Episode: 251, Total numsteps: 4755, Episode steps: 6, Reward: -99.4, Cost: 0, Running Time: 0.1396

Episode: 252, Total numsteps: 4763, Episode steps: 8, Reward: -99.35, Cost: 0, Running Time: 0.189

Episode: 253, Total numsteps: 4773, Episode steps: 10, Reward: -99.28, Cost: 0, Running Time: 0.2332

Episode: 254, Total numsteps: 4784, Episode steps: 11, Reward: -99.87, Cost: 0, Running Time: 0.2532

Episode: 255, Total numsteps: 4843, Episode steps: 59, Reward: -99.87, Cost: 0, Running Time: 1.4437

